source_domain,source_type,min_source_priority,max_source_priority,row_count,day_count,mapping_basis,suggested_score,current_actual_score,priority_adjustment
iheart.com,general_news,1,1,53998,27,type_fallback_general_news,0.55,0.55,0.0
zazoom.it,general_news,1,1,32516,26,type_fallback_general_news,0.55,0.55,0.0
indiatimes.com,general_news,1,1,28528,27,type_fallback_general_news,0.55,0.55,0.0
udn.com,general_news,1,1,27559,27,type_fallback_general_news,0.55,0.55,0.0
baomoi.com,general_news,1,1,26273,27,type_fallback_general_news,0.55,0.55,0.0
163.com,general_news,1,1,21797,27,type_fallback_general_news,0.55,0.55,0.0
sina.com.cn,general_news,1,1,21209,27,type_fallback_general_news,0.55,0.55,0.0
china.com,general_news,1,1,18319,27,type_fallback_general_news,0.55,0.55,0.0
tribunnews.com,general_news,1,1,18087,27,type_fallback_general_news,0.55,0.55,0.0
haberler.com,general_news,1,1,17082,27,type_fallback_general_news,0.55,0.55,0.0
inewsgr.com,general_news,1,1,17077,27,type_fallback_general_news,0.55,0.55,0.0
finanznachrichten.de,general_news,1,1,16265,27,type_fallback_general_news,0.55,0.55,0.0
dostor.org,general_news,1,1,14833,27,type_fallback_general_news,0.55,0.55,0.0
yahoo.com,general_news,1,1,14088,27,type_fallback_general_news,0.55,0.55,0.0
dailypolitical.com,general_news,1,1,13087,27,type_fallback_general_news,0.55,0.55,0.0
kompas.com,general_news,1,1,12884,27,type_fallback_general_news,0.55,0.55,0.0
globo.com,general_news,1,1,11334,27,type_fallback_general_news,0.55,0.55,0.0
ltn.com.tw,general_news,1,1,11274,27,type_fallback_general_news,0.55,0.55,0.0
tickerreport.com,general_news,1,1,11273,27,explicit_low_trust,0.15,0.15,0.0
argaam.com,general_news,1,1,11248,26,type_fallback_general_news,0.55,0.55,0.0
prnewswire.com,general_news,1,1,11130,27,explicit_low_trust,0.15,0.15,0.0
manilatimes.net,general_news,1,1,11123,27,type_fallback_general_news,0.55,0.55,0.0
themarketsdaily.com,general_news,1,1,10235,23,type_fallback_general_news,0.55,0.55,0.0
yam.com,general_news,1,1,10021,27,type_fallback_general_news,0.55,0.55,0.0
euronews.com,general_news,1,1,9880,27,type_fallback_general_news,0.55,0.55,0.0
cfi.net.cn,general_news,1,1,9657,27,type_fallback_general_news,0.55,0.55,0.0
merkur.de,general_news,1,1,9485,27,type_fallback_general_news,0.55,0.55,0.0
yahoo.com,company_specific,2,2,9403,27,type_fallback_company_specific,0.45,0.48,0.03
naslovi.net,general_news,1,1,9333,27,type_fallback_general_news,0.55,0.55,0.0
