rank,source_url,domain,source_type,curated_priority,final_source_quality_score,external_reference_score,row_count,day_count,tier_label,score_basis,note
101,https://redflag.org.au,redflag.org.au,general_news,180.0,0.90,0.90,2,2,tier_0_unknown,external_mbfc_only,
102,https://birdlife.org.au,birdlife.org.au,general_news,180.0,0.90,0.90,2,2,tier_0_unknown,external_mbfc_only,
103,https://pbsfm.org.au,pbsfm.org.au,general_news,180.0,0.90,0.90,1,1,tier_0_unknown,external_mbfc_only,
104,https://mastermariners.org.au,mastermariners.org.au,general_news,180.0,0.90,0.90,1,1,tier_0_unknown,external_mbfc_only,
105,https://theamericanconservative.com,theamericanconservative.com,general_news,170.0,0.75,0.75,131,27,tier_0_unknown,external_mbfc_only,
106,https://freerepublic.com,freerepublic.com,general_news,135.0,0.50,0.50,1563,27,tier_0_unknown,external_mbfc_only,
107,https://tickerreport.com,tickerreport.com,general_news,135.0,0.20,0.20,11273,27,tier_1_4,static_prior_only,
108,https://prnewswire.com,prnewswire.com,general_news,135.0,0.20,0.20,11130,27,tier_1_4,static_prior_only,
109,https://openpr.com,openpr.com,general_news,135.0,0.20,0.20,1807,24,tier_1_4,static_prior_only,
110,https://mailchi.mp,mailchi.mp,general_news,130.0,0.76,0.76,1,1,tier_0_unknown,external_adfontes_only,
111,https://indiatimes.com,indiatimes.com,company_specific,100.0,0.55,0.55,679,27,tier_5_7,static_prior_only,
112,https://businesstoday.in,businesstoday.in,company_specific,100.0,0.55,0.55,368,26,tier_5_7,static_prior_only,
113,https://financialcontent.com,financialcontent.com,general_news,100.0,0.20,0.20,916,25,tier_1_4,static_prior_only,
114,https://iheart.com,iheart.com,general_news,-45.0,0.00,0.00,53998,27,tier_0_unknown,static_prior_only,
115,https://zazoom.it,zazoom.it,general_news,-45.0,0.00,0.00,32516,26,tier_0_unknown,static_prior_only,
116,https://udn.com,udn.com,general_news,-45.0,0.00,0.00,27559,27,tier_0_unknown,static_prior_only,
117,https://baomoi.com,baomoi.com,general_news,-45.0,0.00,0.00,26273,27,tier_0_unknown,static_prior_only,
118,https://163.com,163.com,general_news,-45.0,0.00,0.00,21797,27,tier_0_unknown,static_prior_only,
119,https://sina.com.cn,sina.com.cn,general_news,-45.0,0.00,0.00,21209,27,tier_0_unknown,static_prior_only,
120,https://china.com,china.com,general_news,-45.0,0.00,0.00,18319,27,tier_0_unknown,static_prior_only,
121,https://tribunnews.com,tribunnews.com,general_news,-45.0,0.00,0.00,18087,27,tier_0_unknown,static_prior_only,
122,https://haberler.com,haberler.com,general_news,-45.0,0.00,0.00,17082,27,tier_0_unknown,static_prior_only,
123,https://inewsgr.com,inewsgr.com,general_news,-45.0,0.00,0.00,17077,27,tier_0_unknown,static_prior_only,
124,https://finanznachrichten.de,finanznachrichten.de,general_news,-45.0,0.00,0.00,16265,27,tier_0_unknown,static_prior_only,
125,https://dostor.org,dostor.org,general_news,-45.0,0.00,0.00,14833,27,tier_0_unknown,static_prior_only,
126,https://dailypolitical.com,dailypolitical.com,general_news,-45.0,0.00,0.00,13087,27,tier_0_unknown,static_prior_only,
127,https://kompas.com,kompas.com,general_news,-45.0,0.00,0.00,12884,27,tier_0_unknown,static_prior_only,
128,https://globo.com,globo.com,general_news,-45.0,0.00,0.00,11334,27,tier_0_unknown,static_prior_only,
129,https://ltn.com.tw,ltn.com.tw,general_news,-45.0,0.00,0.00,11274,27,tier_0_unknown,static_prior_only,
130,https://argaam.com,argaam.com,general_news,-45.0,0.00,0.00,11248,26,tier_0_unknown,static_prior_only,
131,https://manilatimes.net,manilatimes.net,general_news,-45.0,0.00,0.00,11123,27,tier_0_unknown,static_prior_only,
132,https://themarketsdaily.com,themarketsdaily.com,general_news,-45.0,0.00,0.00,10235,23,tier_0_unknown,static_prior_only,
133,https://yam.com,yam.com,general_news,-45.0,0.00,0.00,10021,27,tier_0_unknown,static_prior_only,
134,https://euronews.com,euronews.com,general_news,-45.0,0.00,0.00,9880,27,tier_0_unknown,static_prior_only,
135,https://cfi.net.cn,cfi.net.cn,general_news,-45.0,0.00,0.00,9657,27,tier_0_unknown,static_prior_only,
136,https://merkur.de,merkur.de,general_news,-45.0,0.00,0.00,9485,27,tier_0_unknown,static_prior_only,
137,https://naslovi.net,naslovi.net,general_news,-45.0,0.00,0.00,9333,27,tier_0_unknown,static_prior_only,
138,https://index.hr,index.hr,general_news,-45.0,0.00,0.00,9196,27,tier_0_unknown,static_prior_only,
139,https://itbear.com.cn,itbear.com.cn,general_news,-45.0,0.00,0.00,8463,27,tier_0_unknown,static_prior_only,
140,https://news.yam.md,news.yam.md,general_news,-45.0,0.00,0.00,8295,27,tier_0_unknown,static_prior_only,
141,https://cnfol.com,cnfol.com,general_news,-45.0,0.00,0.00,8089,27,tier_0_unknown,static_prior_only,
142,https://hna.de,hna.de,general_news,-45.0,0.00,0.00,7956,27,tier_0_unknown,static_prior_only,
143,https://ansa.it,ansa.it,general_news,-45.0,0.00,0.00,7936,27,tier_0_unknown,static_prior_only,
144,https://zol.com.cn,zol.com.cn,general_news,-45.0,0.00,0.00,7837,27,tier_0_unknown,static_prior_only,
145,https://allafrica.com,allafrica.com,general_news,-45.0,0.00,0.00,7750,27,tier_0_unknown,static_prior_only,
146,https://cna.com.tw,cna.com.tw,general_news,-45.0,0.00,0.00,7727,27,tier_0_unknown,static_prior_only,
147,https://news.mail.ru,news.mail.ru,general_news,-45.0,0.00,0.00,7565,27,tier_0_unknown,static_prior_only,
148,https://vetogate.com,vetogate.com,general_news,-45.0,0.00,0.00,7369,27,tier_0_unknown,static_prior_only,
149,https://thehindu.com,thehindu.com,general_news,-45.0,0.00,0.00,7360,27,tier_0_unknown,static_prior_only,
150,https://larazon.es,larazon.es,general_news,-45.0,0.00,0.00,6903,27,tier_0_unknown,static_prior_only,
151,https://antaranews.com,antaranews.com,general_news,-45.0,0.00,0.00,6841,27,tier_0_unknown,static_prior_only,
152,https://setn.com,setn.com,general_news,-45.0,0.00,0.00,6602,27,tier_0_unknown,static_prior_only,
